t,S,I,R
217,0.004901960784313725,0.8921568627450981,0.10294117647058823
218,0.004901960784313725,0.8921568627450981,0.10294117647058823
219,0.004901960784313725,0.8921568627450981,0.10294117647058823
220,0.004901960784313725,0.8921568627450981,0.10294117647058823
221,0.004901960784313725,0.8921568627450981,0.10294117647058823
222,0.004901960784313725,0.8921568627450981,0.10294117647058823
223,0.004901960784313725,0.8921568627450981,0.10294117647058823
224,0.004901960784313725,0.8921568627450981,0.10294117647058823
225,0.004901960784313725,0.8921568627450981,0.10294117647058823
226,0.004901960784313725,0.8921568627450981,0.10294117647058823
227,0.004901960784313725,0.8921568627450981,0.10294117647058823
228,0.004901960784313725,0.8921568627450981,0.10294117647058823
229,0.004901960784313725,0.8921568627450981,0.10294117647058823
230,0.004901960784313725,0.8921568627450981,0.10294117647058823
231,0.004901960784313725,0.8921568627450981,0.10294117647058823
232,0.004901960784313725,0.8921568627450981,0.10294117647058823
233,0.004901960784313725,0.8921568627450981,0.10294117647058823
234,0.004901960784313725,0.8921568627450981,0.10294117647058823
235,0.004901960784313725,0.8921568627450981,0.10294117647058823
236,0.004901960784313725,0.8921568627450981,0.10294117647058823
237,0.004901960784313725,0.8921568627450981,0.10294117647058823
238,0.004901960784313725,0.8921568627450981,0.10294117647058823
239,0.004901960784313725,0.8921568627450981,0.10294117647058823
240,0.004901960784313725,0.8921568627450981,0.10294117647058823
241,0.004901960784313725,0.8921568627450981,0.10294117647058823
242,0.004901960784313725,0.8921568627450981,0.10294117647058823
243,0.004901960784313725,0.8921568627450981,0.10294117647058823
244,0.004901960784313725,0.8921568627450981,0.10294117647058823
245,0.004901960784313725,0.8921568627450981,0.10294117647058823
246,0.004901960784313725,0.8921568627450981,0.10294117647058823
247,0.004901960784313725,0.8921568627450981,0.10294117647058823
248,0.004901960784313725,0.8921568627450981,0.10294117647058823
249,0.004901960784313725,0.8921568627450981,0.10294117647058823
250,0.004901960784313725,0.8921568627450981,0.10294117647058823
251,0.004901960784313725,0.8921568627450981,0.10294117647058823
252,0.004901960784313725,0.8921568627450981,0.10294117647058823
253,0.004901960784313725,0.8921568627450981,0.10294117647058823
254,0.004901960784313725,0.8921568627450981,0.10294117647058823
255,0.004901960784313725,0.8921568627450981,0.10294117647058823
256,0.004901960784313725,0.8921568627450981,0.10294117647058823
257,0.004901960784313725,0.8921568627450981,0.10294117647058823
258,0.004901960784313725,0.8921568627450981,0.10294117647058823
259,0.004901960784313725,0.8921568627450981,0.10294117647058823
260,0.004901960784313725,0.8921568627450981,0.10294117647058823
261,0.004901960784313725,0.8921568627450981,0.10294117647058823
262,0.004901960784313725,0.8921568627450981,0.10294117647058823
263,0.004901960784313725,0.8921568627450981,0.10294117647058823
264,0.004901960784313725,0.8921568627450981,0.10294117647058823
265,0.004901960784313725,0.8921568627450981,0.10294117647058823
266,0.004901960784313725,0.8921568627450981,0.10294117647058823
267,0.004901960784313725,0.8921568627450981,0.10294117647058823
268,0.004901960784313725,0.8921568627450981,0.10294117647058823
269,0.004901960784313725,0.8921568627450981,0.10294117647058823
270,0.004901960784313725,0.8921568627450981,0.10294117647058823
271,0.004901960784313725,0.8921568627450981,0.10294117647058823
272,0.004901960784313725,0.8921568627450981,0.10294117647058823
273,0.004901960784313725,0.8921568627450981,0.10294117647058823
274,0.004901960784313725,0.8921568627450981,0.10294117647058823
275,0.004901960784313725,0.8921568627450981,0.10294117647058823
276,0.004901960784313725,0.8921568627450981,0.10294117647058823
277,0.004901960784313725,0.8921568627450981,0.10294117647058823
278,0.004901960784313725,0.8921568627450981,0.10294117647058823
279,0.004901960784313725,0.8921568627450981,0.10294117647058823
280,0.004901960784313725,0.8921568627450981,0.10294117647058823
281,0.004901960784313725,0.8921568627450981,0.10294117647058823
282,0.004901960784313725,0.8921568627450981,0.10294117647058823
283,0.004901960784313725,0.8921568627450981,0.10294117647058823
284,0.004901960784313725,0.8921568627450981,0.10294117647058823
285,0.004901960784313725,0.8921568627450981,0.10294117647058823
286,0.004901960784313725,0.8921568627450981,0.10294117647058823
287,0.004901960784313725,0.8921568627450981,0.10294117647058823
288,0.004901960784313725,0.8921568627450981,0.10294117647058823
289,0.004901960784313725,0.8921568627450981,0.10294117647058823
290,0.004901960784313725,0.8921568627450981,0.10294117647058823
291,0.004901960784313725,0.8921568627450981,0.10294117647058823
292,0.004901960784313725,0.8921568627450981,0.10294117647058823
293,0.004901960784313725,0.8921568627450981,0.10294117647058823
294,0.004901960784313725,0.8921568627450981,0.10294117647058823
295,0.004901960784313725,0.8921568627450981,0.10294117647058823
296,0.004901960784313725,0.8921568627450981,0.10294117647058823
297,0.004901960784313725,0.8921568627450981,0.10294117647058823
298,0.004901960784313725,0.8921568627450981,0.10294117647058823
299,0.004901960784313725,0.8921568627450981,0.10294117647058823
300,0.004901960784313725,0.8921568627450981,0.10294117647058823
